---------------------------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge | El. Name     |        Ionization Energy (eV)         |
--------|---------------|------------|--------------|---------------------------------------|
      1 | H I           |          0 | Hydrogen     |           (13.598433770784)           |
      2 | He I          |          0 | Helium       |            24.587387512               |
      2 | He II         |         +1 | Helium       |           (54.417762170)              |
      3 | Li I          |          0 | Lithium      |             5.391714668               |
      3 | Li II         |         +1 | Lithium      |           [75.6400924]                |
      3 | Li III        |         +2 | Lithium      |          (122.45435200)               |
      4 | Be I          |          0 | Beryllium    |             9.3226990                 |
      4 | Be II         |         +1 | Beryllium    |            18.211153                  |
      4 | Be III        |         +2 | Beryllium    |          [153.8961950]                |
      4 | Be IV         |         +3 | Beryllium    |          (217.7185728)                |
      5 | B I           |          0 | Boron        |             8.2980189                 |
      5 | B II          |         +1 | Boron        |            25.154830                  |
      5 | B III         |         +2 | Boron        |            37.930580                  |
      5 | B IV          |         +3 | Boron        |           259.3715                    |
      5 | B V           |         +4 | Boron        |          (340.2260021)                |
      6 | C I           |          0 | Carbon       |            11.26030                   |
      6 | C II          |         +1 | Carbon       |           [24.38450]                  |
      6 | C III         |         +2 | Carbon       |            47.88778                   |
      6 | C IV          |         +3 | Carbon       |            64.49358                   |
      6 | C V           |         +4 | Carbon       |          [392.090490]                 |
      6 | C VI          |         +5 | Carbon       |          (489.9931680)                |
      7 | N I           |          0 | Nitrogen     |            14.534130                  |
      7 | N II          |         +1 | Nitrogen     |           [29.601250]                 |
      7 | N III         |         +2 | Nitrogen     |           [47.4453]                   |
      7 | N IV          |         +3 | Nitrogen     |            77.47350                   |
      7 | N V           |         +4 | Nitrogen     |            97.89013                   |
      7 | N VI          |         +5 | Nitrogen     |          [552.067300]                 |
      7 | N VII         |         +6 | Nitrogen     |          (667.046080)                 |
      8 | O I           |          0 | Oxygen       |            13.6180540                 |
      8 | O II          |         +1 | Oxygen       |            35.121110                  |
      8 | O III         |         +2 | Oxygen       |           [54.93554]                  |
      8 | O IV          |         +3 | Oxygen       |            77.41350                   |
      8 | O V           |         +4 | Oxygen       |           113.89900                   |
      8 | O VI          |         +5 | Oxygen       |          [138.1189]                   |
      8 | O VII         |         +6 | Oxygen       |          [739.326780]                 |
      8 | O VIII        |         +7 | Oxygen       |          (871.409830)                 |
      9 | F I           |          0 | Fluorine     |            17.422820                  |
      9 | F II          |         +1 | Fluorine     |            34.97081                   |
      9 | F III         |         +2 | Fluorine     |           [62.70800]                  |
      9 | F IV          |         +3 | Fluorine     |           [87.174]                    |
      9 | F V           |         +4 | Fluorine     |          [114.2490]                   |
      9 | F VI          |         +5 | Fluorine     |           157.16310                   |
      9 | F VII         |         +6 | Fluorine     |          [185.18680]                  |
      9 | F VIII        |         +7 | Fluorine     |          [953.89799]                  |
      9 | F IX          |         +8 | Fluorine     |         (1103.117400)                 |
     10 | Ne I          |          0 | Neon         |            21.5645390                 |
     10 | Ne II         |         +1 | Neon         |            40.962960                  |
     10 | Ne III        |         +2 | Neon         |            63.42331                   |
     10 | Ne IV         |         +3 | Neon         |           [97.1900]                   |
     10 | Ne V          |         +4 | Neon         |           126.247                     |
     10 | Ne VI         |         +5 | Neon         |           157.9335                    |
     10 | Ne VII        |         +6 | Neon         |           207.271                     |
     10 | Ne VIII       |         +7 | Neon         |          [239.0969]                   |
     10 | Ne IX         |         +8 | Neon         |         [1195.80780]                  |
     10 | Ne X          |         +9 | Neon         |         (1362.199080)                 |
     11 | Na I          |          0 | Sodium       |             5.13907660                |
     11 | Na II         |         +1 | Sodium       |            47.28636                   |
     11 | Na III        |         +2 | Sodium       |           [71.6200]                   |
     11 | Na IV         |         +3 | Sodium       |           [98.936]                    |
     11 | Na V          |         +4 | Sodium       |           138.404                     |
     11 | Na VI         |         +5 | Sodium       |          [172.228]                    |
     11 | Na VII        |         +6 | Sodium       |          [208.504]                    |
     11 | Na VIII       |         +7 | Sodium       |          [264.192]                    |
     11 | Na IX         |         +8 | Sodium       |          (299.8560)                   |
     11 | Na X          |         +9 | Sodium       |         (1465.134410)                 |
     12 | Mg I          |          0 | Magnesium    |             7.6462350                 |
     12 | Mg II         |         +1 | Magnesium    |            15.0352670                 |
     12 | Mg III        |         +2 | Magnesium    |            80.14360                   |
     12 | Mg IV         |         +3 | Magnesium    |          [109.2650]                   |
     12 | Mg V          |         +4 | Magnesium    |          [141.334]                    |
     12 | Mg VI         |         +5 | Magnesium    |          [186.757]                    |
     12 | Mg VII        |         +6 | Magnesium    |          [225.015]                    |
     12 | Mg VIII       |         +7 | Magnesium    |          [265.924]                    |
     12 | Mg IX         |         +8 | Magnesium    |          [327.985]                    |
     12 | Mg X          |         +9 | Magnesium    |          (367.4900)                   |
     13 | Al I          |          0 | Aluminum     |             5.9857683                 |
     13 | Al II         |         +1 | Aluminum     |            18.828550                  |
     13 | Al III        |         +2 | Aluminum     |            28.447640                  |
     13 | Al IV         |         +3 | Aluminum     |           119.9920                    |
     13 | Al V          |         +4 | Aluminum     |          [153.8252]                   |
     13 | Al VI         |         +5 | Aluminum     |          [190.489]                    |
     13 | Al VII        |         +6 | Aluminum     |          [241.757]                    |
     13 | Al VIII       |         +7 | Aluminum     |          [284.638]                    |
     13 | Al IX         |         +8 | Aluminum     |          [330.212]                    |
     13 | Al X          |         +9 | Aluminum     |          [398.646]                    |
     14 | Si I          |          0 | Silicon      |             8.151683                  |
     14 | Si II         |         +1 | Silicon      |            16.345845                  |
     14 | Si III        |         +2 | Silicon      |            33.493000                  |
     14 | Si IV         |         +3 | Silicon      |            45.141790                  |
     14 | Si V          |         +4 | Silicon      |           166.7674                    |
     14 | Si VI         |         +5 | Silicon      |          [205.267]                    |
     14 | Si VII        |         +6 | Silicon      |          [246.32]                     |
     14 | Si VIII       |         +7 | Silicon      |          [303.66]                     |
     14 | Si IX         |         +8 | Silicon      |          [351.098]                    |
     14 | Si X          |         +9 | Silicon      |          [401.380]                    |
     15 | P I           |          0 | Phosphorus   |            10.486690                  |
     15 | P II          |         +1 | Phosphorus   |           [19.769490]                 |
     15 | P III         |         +2 | Phosphorus   |            30.202640                  |
     15 | P IV          |         +3 | Phosphorus   |            51.44387                   |
     15 | P V           |         +4 | Phosphorus   |            65.02511                   |
     15 | P VI          |         +5 | Phosphorus   |          [220.4304]                   |
     15 | P VII         |         +6 | Phosphorus   |          [263.566]                    |
     15 | P VIII        |         +7 | Phosphorus   |          [309.60]                     |
     15 | P IX          |         +8 | Phosphorus   |          [372.31]                     |
     15 | P X           |         +9 | Phosphorus   |          [424.400]                    |
     16 | S I           |          0 | Sulfur       |            10.36000                   |
     16 | S II          |         +1 | Sulfur       |            23.33788                   |
     16 | S III         |         +2 | Sulfur       |           [34.856]                    |
     16 | S IV          |         +3 | Sulfur       |           [47.222]                    |
     16 | S V           |         +4 | Sulfur       |            72.59449                   |
     16 | S VI          |         +5 | Sulfur       |            88.05292                   |
     16 | S VII         |         +6 | Sulfur       |           280.9544                    |
     16 | S VIII        |         +7 | Sulfur       |           328.7940                    |
     16 | S IX          |         +8 | Sulfur       |          [379.84]                     |
     16 | S X           |         +9 | Sulfur       |          [447.74]                     |
     17 | Cl I          |          0 | Chlorine     |            12.967630                  |
     17 | Cl II         |         +1 | Chlorine     |            23.81364                   |
     17 | Cl III        |         +2 | Chlorine     |           [39.80]                     |
     17 | Cl IV         |         +3 | Chlorine     |           [53.24]                     |
     17 | Cl V          |         +4 | Chlorine     |           [67.68]                     |
     17 | Cl VI         |         +5 | Chlorine     |           [96.943]                    |
     17 | Cl VII        |         +6 | Chlorine     |           114.20100                   |
     17 | Cl VIII       |         +7 | Chlorine     |           348.3063                    |
     17 | Cl IX         |         +8 | Chlorine     |           400.851                     |
     17 | Cl X          |         +9 | Chlorine     |          [456.68]                     |
     18 | Ar I          |          0 | Argon        |            15.75961090                |
     18 | Ar II         |         +1 | Argon        |            27.62967                   |
     18 | Ar III        |         +2 | Argon        |           [40.735]                    |
     18 | Ar IV         |         +3 | Argon        |           [59.58]                     |
     18 | Ar V          |         +4 | Argon        |           [74.84]                     |
     18 | Ar VI         |         +5 | Argon        |            91.290                     |
     18 | Ar VII        |         +6 | Argon        |          [124.412]                    |
     18 | Ar VIII       |         +7 | Argon        |          [143.4567]                   |
     18 | Ar IX         |         +8 | Argon        |          [422.598]                    |
     18 | Ar X          |         +9 | Argon        |          [479.76]                     |
     19 | K I           |          0 | Potassium    |             4.340663460               |
     19 | K II          |         +1 | Potassium    |            31.62499                   |
     19 | K III         |         +2 | Potassium    |           [45.8031]                   |
     19 | K IV          |         +3 | Potassium    |           [60.917]                    |
     19 | K V           |         +4 | Potassium    |           [82.66]                     |
     19 | K VI          |         +5 | Potassium    |           [99.44]                     |
     19 | K VII         |         +6 | Potassium    |           117.56                      |
     19 | K VIII        |         +7 | Potassium    |          [154.869]                    |
     19 | K IX          |         +8 | Potassium    |           175.8174                    |
     19 | K X           |         +9 | Potassium    |          [503.673]                    |
     20 | Ca I          |          0 | Calcium      |             6.11315509                |
     20 | Ca II         |         +1 | Calcium      |            11.8717200                 |
     20 | Ca III        |         +2 | Calcium      |            50.91315                   |
     20 | Ca IV         |         +3 | Calcium      |           [67.2732]                   |
     20 | Ca V          |         +4 | Calcium      |           [84.338]                    |
     20 | Ca VI         |         +5 | Calcium      |          [108.78]                     |
     20 | Ca VII        |         +6 | Calcium      |          [127.21]                     |
     20 | Ca VIII       |         +7 | Calcium      |           147.24                      |
     20 | Ca IX         |         +8 | Calcium      |          [188.535]                    |
     20 | Ca X          |         +9 | Calcium      |          [211.2751]                   |
     21 | Sc I          |          0 | Scandium     |             6.561490                  |
     21 | Sc II         |         +1 | Scandium     |            12.79977                   |
     21 | Sc III        |         +2 | Scandium     |            24.756837                  |
     21 | Sc IV         |         +3 | Scandium     |            73.48940                   |
     21 | Sc V          |         +4 | Scandium     |           [91.949]                    |
     21 | Sc VI         |         +5 | Scandium     |          [110.680]                    |
     21 | Sc VII        |         +6 | Scandium     |          [137.99]                     |
     21 | Sc VIII       |         +7 | Scandium     |          [158.08]                     |
     21 | Sc IX         |         +8 | Scandium     |           180.03                      |
     21 | Sc X          |         +9 | Scandium     |          [225.180]                    |
     22 | Ti I          |          0 | Titanium     |             6.828120                  |
     22 | Ti II         |         +1 | Titanium     |            13.5755                    |
     22 | Ti III        |         +2 | Titanium     |            27.49171                   |
     22 | Ti IV         |         +3 | Titanium     |            43.26717                   |
